,product,dec_22_index,jan_23_index,feb_23_index,mar_23_index,apr_23_index,may_23_index,jun_23_index,jul_23_index,aug_23_index,sep_23_index,oct_23_index,nov_23_index,dec_23_index,dec_22_dec_23_percent_change
0,all items,296.797,299.17,300.84,301.836,303.363,304.127,305.109,305.691,307.026,307.789,307.671,307.051,306.746,3.4
1,food,316.839,319.136,320.569,320.863,321.566,322.249,322.556,323.523,324.1,324.704,325.731,325.172,325.409,2.7
2,gound beef,330.548,329.943,330.661,331.897,333.806,340.629,346.066,351.379,352.959,355.019,360.211,354.917,352.556,6.7
3,breakfast sausage,185.061,188.373,188.754,188.884,185.367,185.878,185.751,187.793,185.242,184.066,184.488,179.105,178.159,-3.7
4,ham,262.125,276.587,287.536,282.867,275.974,287.708,287.55,288.923,290.8,287.885,288.813,275.317,268.563,2.5
5,pork chops,241.227,232.855,238.206,234.76,236.125,232.533,233.532,233.915,241.15,239.949,248.324,242.457,240.258,-0.4
6,fresh whole chicken,316.577,316.322,318.5,315.982,316.063,321.946,325.841,318.999,325.801,322.294,323.007,327.616,326.386,3.1
7,apples,362.529,372.933,376.556,376.465,380.371,387.719,384.824,395.575,396.512,387.201,346.674,341.815,341.314,-5.9
8,potatoes,414.961,422.248,432.55,428.283,430.341,437.938,444.869,455.949,463.969,448.409,430.23,410.579,403.266,-2.8
9,lettuce,471.238,436.546,410.066,386.943,398.562,411.932,398.196,398.761,390.431,391.509,397.336,406.738,392.374,-16.7
10,tomatoes,390.595,374.035,365.251,352.798,342.056,335.461,350.732,348.881,346.99,350.142,347.495,358.148,362.546,-7.2
11,"dried beans, peas, and lentils",226.382,228.258,220.879,220.26,216.599,221.659,221.07,221.908,219.374,219.182,223.153,218.062,222.896,-1.5
