,state,bachelors_degree_or_higher,high_school_or_some_degree,less_than_high_school_graduate
0,AK,243746,616426,66840
1,AL,1480229,3863857,716829
2,AR,809031,2381624,409440
3,AZ,2321075,5119494,1060635
4,CA,15913307,26514454,7125082
5,CO,2809414,3841816,609053
6,CT,1709751,2392062,358342
7,DC,554926,343711,66269
8,DE,357522,703296,112945
9,FL,7298776,15331590,2754198
10,GA,3983703,7622370,1510790
11,HI,537211,1092173,100925
12,IA,1069541,2430784,281150
13,ID,544770,1369272,203749
14,IL,5479099,8799192,1515909
15,IN,2141583,5176156,858879
16,KS,1101890,2088039,314122
17,KY,1323417,3551942,603987
18,LA,1318915,3603153,758270
19,MA,3810019,4347539,696818
20,MD,2945009,3974797,667027
21,ME,501285,1032664,101072
22,MI,3517774,7686523,1036484
23,MN,2458281,3936414,472252
24,MO,2158106,4615531,648384
25,MS,747861,2364607,466726
26,MT,396816,829984,84764
27,NC,3901869,7532047,1340558
28,ND,278077,606882,54929
29,NE,720863,1386952,195817
30,NH,606140,1001247,105986
31,NJ,4517187,5734973,935816
32,NM,606330,1583562,329115
33,NV,854668,2372214,496676
34,NY,9156937,12906140,2725550
35,OH,4007043,8990586,1226929
36,OK,1126826,3062837,555624
37,OR,1661315,3052800,496361
38,PA,5049630,9376299,1287297
39,PR,682280,1501166,290994
40,RI,438508,768232,119084
41,SC,1661678,3824779,663091
42,SD,283845,644994,83159
43,TN,2283180,5204929,850699
44,TX,10080938,20258543,5092133
45,UT,1143404,2369711,298154
46,VA,4016561,5770517,898046
47,VT,283907,451623,49854
48,WA,3222745,5344156,827786
49,WI,2123451,4489460,517257
50,WV,449493,1482881,224688
51,WY,162595,428970,44866
