,state,less_than_5000,5000_to_9999,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_34999,35000_to_49999,50000_to_74999,75000_to_99999,100000_to_149999,150000_or_more
0,AK,18174,12634,21940,25026,23334,50829,77641,137110,107334,148477,146440
1,AL,233504,222354,322683,320756,301817,590068,750332,995370,677564,753441,547414
2,AR,128715,128943,199302,202310,208897,394396,495197,634496,402475,413615,285064
3,AZ,271160,200288,290801,319923,351069,712015,1038416,1458846,1043264,1202281,1016017
4,CA,1108823,744298,1514770,1304597,1408326,2794750,3921691,5983959,4862344,6717702,9030282
5,CO,163931,132815,198876,201886,222073,463890,715541,1121469,886543,1185881,1223852
6,CT,109698,93063,142866,135999,146347,282667,413058,630070,510370,727004,962365
7,DC,43696,30559,34722,26649,21971,49804,64018,108450,95936,143160,263832
8,DE,33791,23340,38415,35566,42904,94529,130713,196996,157777,190283,175046
9,FL,830084,646333,986655,1062707,1142528,2343400,3234021,4353107,2992295,3301338,2931370
10,GA,412897,327027,480412,497623,518285,1049358,1419848,2006631,1454950,1698647,1563103
11,HI,37442,31910,37495,36550,40877,87221,134528,220706,194436,274848,309748
12,IA,97200,93663,152070,164318,165661,347869,496978,727293,544668,613551,414693
13,ID,54588,42968,78805,84947,92473,188091,270282,401786,259198,288546,195091
14,IL,501167,390310,537307,566680,612936,1179518,1641976,2426974,1884497,2429630,2491448
15,IN,252732,202161,319088,351990,374874,763038,1053196,1484037,1057239,1150328,787107
16,KS,95177,85010,134339,143038,152275,320683,457866,637512,460826,521843,407948
17,KY,195473,223613,289650,272616,272975,539135,706190,936272,645511,691838,471250
18,LA,237849,235080,300416,302245,311153,533199,645073,847685,593310,686984,546301
19,MA,213848,185451,327146,278333,266870,510312,716008,1111588,953607,1430840,2015310
20,MD,170540,139359,176222,185154,185367,410077,620843,1012595,871558,1293808,1660301
21,ME,43272,47163,83213,80160,80642,156814,221130,311024,235616,256839,184693
22,MI,376822,372366,496291,518208,559221,1130523,1562775,2154638,1542905,1757900,1421659
23,MN,141215,129149,227560,219333,238576,491328,756381,1148341,934845,1215825,1128189
24,MO,214356,220427,324898,336957,356845,720585,989922,1341003,947587,1043733,787575
25,MS,151188,157014,219191,210947,194623,363577,448974,561744,385209,379049,248351
26,MT,36968,38372,64505,59326,68276,138824,180665,254013,172168,188858,136913
27,NC,390782,349621,577696,571652,586870,1195591,1628265,2150752,1512495,1668446,1399263
28,ND,26792,26467,37666,37202,39055,81188,113416,173643,135386,165880,122347
29,NE,59571,53510,86413,90300,97302,207275,299905,433985,323820,369548,267145
30,NH,30864,27287,47447,52227,54705,116745,164380,268646,224772,307469,316479
31,NJ,250797,209996,312465,315749,340740,649326,895484,1417898,1204946,1764062,2539459
32,NM,100472,98846,133268,130460,133775,247841,313564,420149,276688,308000,222138
33,NV,120198,77848,116316,130048,146036,301863,439341,615866,457109,521231,416568
34,NY,754313,657110,1027278,906718,884007,1684767,2286751,3350379,2654202,3572403,4512024
35,OH,459006,464041,618111,644220,678412,1343697,1855494,2579088,1849640,2073162,1581342
36,OK,154403,139405,216032,216561,242527,465594,621207,831821,561574,601544,427146
37,OR,137682,128535,190485,195252,205750,424097,601072,887024,663953,803358,716882
38,PA,445828,432552,628935,665803,671201,1355448,1836508,2664194,2015981,2413216,2175589
39,PR,529034,410809,417911,366775,290129,446830,430045,369988,156008,107297,69453
40,RI,35572,33115,60845,50145,48013,93599,129326,191372,162625,218521,198091
41,SC,235289,188679,279723,281084,296480,591691,787524,1061374,734164,788804,614419
42,SD,26482,25737,42329,41062,45819,99729,135655,192741,149599,156675,99439
43,TN,272793,246359,389142,392929,389695,791825,1086119,1444236,988337,1061513,820828
44,TX,930438,835227,1156918,1194700,1289841,2646171,3630155,5211581,3749537,4658727,4512012
45,UT,60054,50614,82556,84420,93597,221059,349196,571983,465443,585377,460435
46,VA,250161,211427,309836,316045,338953,684334,1017352,1548688,1236944,1655087,2013780
47,VT,18644,16649,38055,32482,34314,68938,94888,143288,109307,130207,98486
48,WA,200577,183468,262089,264157,286669,591252,924586,1455390,1167729,1570662,1719932
49,WI,179143,142687,291596,284268,315675,641038,917623,1344392,1014196,1173782,831784
50,WV,85712,95980,128689,135335,129524,235361,306366,386823,252344,261978,159366
51,WY,15712,16104,23439,25856,25018,55446,75007,115555,93523,111047,74250
