,state,agriculture_forestry_fishing_hunting_mining,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing_utilities,information,finance_insurance_realestate_rental_leasing,professional_scientific_management_administrative_waste_management_services,educationalservices_healthcare_socialassistance,arts_entertainment_recreation_accommodation_foodservices,otherservices_except_public_administration,public_administration
0,AK,28894,44792,23814,14543,65673,63189,15071,29893,57709,158118,42994,28904,98008
1,AL,70977,336577,802174,135697,459964,291230,74478,294521,460938,1046615,245540,195743,319529
2,AR,79753,209096,460209,82808,351555,192041,43734,154241,215708,690423,144997,116443,155709
3,AZ,91495,535151,581966,180253,710756,402757,126453,680822,863286,1415959,481519,270646,420000
4,CA,753386,2699576,4266672,1252181,3467362,2340315,1232685,2644588,5737723,7422958,2763021,1670864,2157842
5,CO,152577,551520,505599,177086,571847,322005,191605,510990,931242,1224518,429840,256137,362924
6,CT,14799,242727,494692,108371,314886,169916,84448,418386,457580,905887,196763,140866,171247
7,DC,1299,22993,11339,5356,29166,25535,34550,63031,223062,139609,60534,84090,171313
8,DE,11405,75342,95621,22531,93352,56498,13782,111157,102885,239216,55506,34584,69696
9,FL,179417,1780844,1255629,625879,2225569,1300010,393079,1816437,2838615,4372371,1880817,927021,1122009
10,GA,122231,773214,1341811,342974,1032037,786031,274752,769722,1405135,2195012,650709,437753,634559
11,HI,19794,113237,47321,35447,143486,94850,21638,105695,149161,302614,202734,55856,159142
12,IA,142612,245718,626644,117465,317744,194058,50106,320319,259458,756641,143295,128224,130936
13,ID,86043,150999,201464,54864,180190,92180,25255,104770,164484,338036,89478,66172,105851
14,IL,149223,733959,1930410,470388,1144192,945796,250630,1167216,1732265,2862615,778192,543850,600117
15,IN,94883,443043,1569326,201781,621851,434060,98432,410420,588215,1457059,344968,265115,291983
16,KS,108199,214285,470128,100473,278006,177349,62934,225790,306848,717486,151543,115671,174843
17,KY,91194,270931,737327,121294,412003,290568,68162,280357,362148,998496,218633,163241,226207
18,LA,174309,381942,401772,129895,429928,270003,68203,249780,404960,1074953,319932,188382,287499
19,MA,26003,468750,832746,193865,602068,314940,187369,667513,1177663,1936028,398725,273380,362340
20,MD,31255,531493,361402,135791,498036,345114,142862,466714,1147982,1510231,363765,330672,935699
21,ME,30634,106237,150459,34636,149390,61975,24700,108475,132928,370022,67471,52782,76021
22,MI,108031,543612,2223558,267192,839155,470583,127617,618950,944424,2039431,513209,363387,400790
23,MN,141243,397096,1040461,213213,549822,310487,105637,539136,662329,1360056,290160,227640,273654
24,MO,110547,428232,875408,198713,613125,390113,122120,526003,638601,1468088,348614,255262,337005
25,MS,64953,193688,423964,73855,265529,194451,33714,137489,179176,703047,172145,112179,173666
26,MT,78086,92727,62183,27851,120008,61404,18026,66616,92269,239676,74454,44400,79397
27,NC,123746,779541,1512033,298839,983951,548142,194657,804844,1191147,2266026,618416,428568,536197
28,ND,89141,67572,68995,34665,83022,51722,10885,56880,57275,201023,42970,33547,50416
29,NE,105164,165051,269008,68067,194549,146877,40079,196634,195740,488610,92830,87592,109983
30,NH,10642,115241,244597,48306,153956,64615,33249,113592,185330,344980,82623,54963,73035
31,NJ,31838,609142,944774,366652,857013,653800,286992,972683,1404645,2088859,515100,354908,509443
32,NM,88188,150042,87602,38799,183499,91836,27415,100158,232480,465244,141534,86248,182822
33,NV,50958,240029,167849,71689,310011,199381,47656,182642,342809,483694,627601,124145,159324
34,NY,116001,1225755,1425545,520110,1637763,1219064,623647,1939273,2617411,5445089,1355550,852995,1184821
35,OH,120258,694525,2199651,365095,1126223,698759,190100,907293,1177723,2718750,596433,429462,570535
36,OK,193161,291528,438661,114721,389690,240935,64681,235760,334302,867452,256725,175192,299293
37,OR,124491,286679,569587,132678,422735,199970,71288,256309,474778,870934,251408,151319,235458
38,PA,185836,826613,1891317,410839,1188293,815532,232230,1030194,1473940,3362539,640973,527493,657410
39,PR,17919,101744,220209,70513,215937,87410,39011,140522,198700,500154,126207,89967,236238
40,RI,4587,70530,142545,29662,105833,47785,17584,89758,119663,280073,69579,42208,58591
41,SC,45995,372710,805603,137016,483854,293673,86574,328056,520968,1076156,330004,212468,271749
42,SD,67354,69418,112021,30961,89771,46522,14404,80588,62265,213026,54766,38216,55674
43,TN,65801,480782,1059858,201287,675533,495927,118884,464204,688432,1531174,432150,278607,352034
44,TX,967642,2762306,2979467,956498,2878437,1937080,537297,2270233,3569349,6268100,1842655,1289171,1487342
45,UT,58501,266956,392930,90034,312145,175751,64257,252889,414386,585759,164122,119443,190111
46,VA,79724,644126,774008,183714,744438,441662,186196,669841,1563843,1889881,509577,423516,1014553
47,VT,18131,50528,85342,15760,65767,23145,11603,37280,62990,179942,44212,25018,40085
48,WA,180107,561043,894395,242060,789999,448093,187411,455265,1102388,1467397,438622,282614,474417
49,WI,146326,398556,1411685,200486,571457,321952,105806,452930,558496,1310158,303249,222628,263816
50,WV,66336,107510,153133,37869,173005,103774,24746,74244,128601,433741,90004,59583,133595
51,WY,71326,46210,27079,12674,55767,38795,7597,27056,34560,128564,36685,20763,44083
