year,cd,agriculture_forestry_fishing_hunting_mining,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing_utilities,information,finance_insurance_realestate_rental_leasing,professional_scientific_management_administrative_waste_management_services,educationalservices_healthcare_socialassistance,arts_entertainment_recreation_accommodation_foodservices,otherservices_except_public_administration,public_administration
2019,0_PR,6239,33555,73692,23153,70787,29104,12717,46604,64671,167723,42986,29570,78456
2019,1_MA,1612,16225,37577,8364,25590,15131,4228,22218,20786,73709,14184,9605,14708
2019,2_MA,1294,14207,32599,6414,20952,9529,6162,17239,30934,65293,10898,8732,10500
2019,3_MA,541,18000,48852,7105,22137,11373,7342,17442,40499,59868,13866,10590,12601
2019,4_MA,590,19548,36590,10322,27693,11294,7526,30364,47905,78633,14115,10243,14053
2019,5_MA,492,17032,35344,7296,23367,11640,11048,32731,76483,96527,23093,13327,14489
2019,6_MA,807,16938,30355,6690,20358,9935,7673,22729,42267,58345,14588,9778,13708
2019,8_MA,538,21887,26001,8939,31012,18049,11059,48665,69004,119446,26360,16257,20922
2019,9_MA,2185,25773,20735,7561,23391,11207,5049,20942,29343,57083,15238,10376,14361
2019,7_MA,99,4264,6790,2319,6336,4497,2960,8029,18934,26107,7895,3940,3312
2019,1_RI,475,7571,17437,3433,13549,5297,2076,11048,13924,35590,9534,4336,6712
2019,2_RI,934,13295,30360,6833,21650,9508,4110,18477,23464,56253,14410,9704,12439
2019,2_NH,2229,22059,44865,9606,28715,11100,5761,17827,32190,65682,15129,10302,13681
2019,1_NH,1367,15790,36168,6974,22244,10698,5526,19272,27657,47210,12907,8168,9990
2019,2_ME,6785,17307,23085,5263,24205,10391,3170,12809,16547,61563,10303,8604,13644
2019,1_ME,3443,16844,27247,6372,25610,9687,5216,22039,26314,59841,12695,8860,10524
2019,0_VT,5865,16302,28772,5748,21817,7806,3923,12218,20659,59352,15516,8002,12908
2019,5_CT,1236,18264,41593,8032,25628,11280,6769,27249,29427,63811,12868,10048,12579
2019,1_CT,520,14274,30774,6855,19491,12317,5810,30472,27828,62358,11184,10022,13499
2019,2_CT,1973,16295,41177,7509,21572,11610,4666,22628,25188,56290,18077,8604,14261
2019,1_NY,1683,30887,27691,14405,33401,21609,10166,31016,47519,96662,17656,13328,22790
2019,3_CT,287,12170,25754,6472,16252,9504,4406,15430,20808,60207,9417,7971,9561
2019,4_CT,836,18357,25098,8544,22705,10763,8467,42404,46006,56313,15558,11610,6973
2019,6_NJ,732,19791,30067,13181,29020,26037,9732,30908,51781,63811,17297,12167,13802
2019,10_NJ,510,20296,23656,9135,26521,32881,7988,29202,42660,69191,19318,13269,16553
2019,11_NJ,489,17645,39212,13526,28522,18188,15076,44594,61420,77696,17122,12456,15967
2019,9_NJ,279,19928,36807,13101,27956,22359,7539,21776,34468,55020,16431,12556,10099
2019,7_NJ,1810,15875,36139,10819,22142,12227,10822,32691,44086,51849,12448,10027,12348
2019,5_NJ,911,16547,26013,13121,26424,14100,9337,33314,42912,63670,13874,11715,9625
2019,8_NJ,68,11509,15189,7420,14975,16006,5025,19297,26311,23771,13168,6490,4352
2019,12_NJ,336,7835,18798,6349,12181,9608,6597,19018,29163,35951,6498,4961,8986
2019,4_NJ,418,12972,10287,5467,17543,9196,3725,12798,18043,34937,7553,5259,10309
2019,3_NJ,1489,21492,33524,12924,32988,19971,10525,38435,50986,79305,16385,12408,27607
2019,2_NJ,3039,19997,19100,7923,20909,13633,3703,13645,20152,54367,25321,8709,18035
2019,1_NJ,791,16449,23145,11171,26913,17200,5778,22590,33680,68403,14881,9103,15678
2019,10_NY,311,12828,13161,9029,26552,14091,26556,61880,80732,74567,36340,14725,12640
2019,12_NY,133,5767,11108,7910,17433,5901,22284,71112,76805,68250,20057,10877,8989
2019,13_NY,77,4881,4722,2860,12266,8521,6544,12810,18826,39866,20566,8039,5495
2019,11_NY,229,13948,5251,3382,13081,13936,4262,19840,20820,50093,10040,6122,14145
2019,15_NY,399,19547,13611,6938,31147,30416,6348,28410,33333,118335,39612,19101,15610
2019,16_NY,434,15572,10937,7101,17342,11903,8310,30329,34771,67460,17497,11659,12421
2019,14_NY,114,6243,3334,1843,7303,7410,3103,7457,10737,24868,9745,4341,4449
2019,17_NY,526,16567,13872,6994,17923,10623,7043,22853,32081,62507,12723,10110,12724
2019,18_NY,2364,15952,17945,7034,22576,15330,5227,15156,23876,60723,13089,9970,16256
2019,19_NY,4776,18677,30784,7119,25709,13078,4841,14687,22808,80108,16754,11339,17876
2019,4_NY,339,22241,16165,11598,27342,23542,9794,36202,40569,94972,16796,12760,21036
2019,3_NY,246,7665,8221,6459,11075,7596,4899,22278,23137,37096,7048,5338,6263
2019,7_NY,717,34671,22396,12760,46252,41895,30918,51646,99924,121059,56214,27651,25784
2019,9_NY,57,5657,3066,2129,8366,9878,3213,8439,11951,39501,7455,5199,5444
2019,8_NY,316,14769,6403,6036,18652,22296,6283,20162,23405,77222,15561,9971,11978
2019,6_NY,353,23700,10329,6986,23135,20663,5498,20509,25453,45573,35845,19602,9535
2019,5_NY,228,17881,8759,5834,22747,30819,6781,23621,29126,88029,18047,13016,20871
2019,2_NY,429,16422,18306,7357,18626,13889,6162,16331,22852,54031,10102,8316,13318
2019,20_NY,1143,12095,20626,5822,19172,9463,4410,20138,29361,58292,13354,8961,29062
2019,21_NY,5930,19321,29672,5369,25899,14059,3615,13212,19784,67997,14122,9761,25362
2019,22_NY,2367,12684,23566,7285,20522,12045,5037,19279,21623,67909,13673,9251,14390
2019,24_NY,9667,25191,58738,10562,32935,17013,5997,20493,32525,91293,16217,13666,22736
2019,23_NY,4364,14397,39730,5507,18594,10395,2709,12757,16249,54664,10520,8866,14445
2019,26_NY,583,11946,32560,7688,22873,13574,4775,27125,28229,71043,17096,10180,14899
2019,25_NY,686,9243,28723,5009,17336,8132,5346,11372,24796,60689,10662,7627,7226
2019,17_PA,1535,10478,20564,6089,15189,11724,3241,18704,22903,41953,7951,6451,5536
2019,14_PA,10650,24714,50502,11790,34823,23515,4936,21996,30536,81794,16991,14703,14164
2019,12_PA,1811,13321,25770,7636,24737,15429,6018,29309,39596,82818,16815,11620,11616
2019,16_PA,3442,14272,45126,6633,21320,12257,3267,16430,19436,60699,11660,9458,9969
2019,13_PA,5501,15971,34200,6091,20211,14748,2600,8442,13156,47429,8512,8028,13346
2019,15_PA,8738,17223,52052,6315,24526,15354,2784,11111,16752,74312,10247,10121,13545
2019,9_PA,9679,21963,60173,10443,32632,22430,3685,14447,22165,81467,13315,12497,16351
2019,10_PA,3150,19802,47034,11712,30046,24820,4607,25541,34334,70851,14143,13909,30656
2019,11_PA,5070,18578,39246,7893,19513,10712,3301,12350,17846,42442,9495,8635,7271
2019,6_PA,7241,18487,50698,11151,25991,13355,6745,35052,48321,65814,13285,10354,8862
2019,7_PA,1679,13206,41271,9015,21522,18305,4858,14056,22796,56032,12492,8709,7857
2019,1_PA,1849,25949,56707,14243,34218,15647,8449,34315,52574,81684,17822,13531,12878
2019,4_PA,620,10405,24833,5711,12879,7444,4020,18961,26698,40044,6942,6426,5658
2019,8_PA,1539,13194,28257,7780,22544,15565,3864,15378,19238,49892,14865,8744,13371
2019,5_PA,485,12364,21702,6775,19901,14413,5326,23051,33245,67888,12473,9175,9843
2019,3_PA,556,7693,17008,5147,19994,16568,7016,24698,43260,96106,21957,12951,19610
2019,2_PA,640,12908,18725,5932,18194,15599,3344,11884,18875,53887,12627,9579,16725
2019,0_DE,4016,25149,32215,7481,30917,17724,5099,37143,33639,78475,19836,11805,22330
2019,0_DC,397,7844,3972,1589,9445,8148,11407,21192,71734,46796,22442,27595,55294
2019,10_VA,1776,25494,14898,4732,23526,13317,11256,26147,95552,53170,17373,15945,36437
2019,7_VA,2354,29317,15108,6726,30469,16573,5899,21017,56794,65012,18236,14982,54656
2019,11_VA,247,7445,5440,1767,8264,6077,6301,14734,57059,25385,9210,9439,23286
2019,4_MD,535,32755,7483,4756,22856,23081,7620,17654,53606,74378,24821,19389,56181
2019,5_MD,924,17353,7970,2819,13415,10436,3324,9726,30205,34958,7995,7817,41332
2019,3_MD,573,18623,16362,7189,20585,12071,5702,18282,54598,57363,14001,12504,45645
2019,8_MD,398,18600,8197,3718,16666,8391,9087,20783,67752,57142,17307,20417,43785
2019,6_MD,2138,23436,18977,5618,22286,12610,6569,19991,53600,53301,15964,13421,31023
2019,1_MD,3679,20698,21683,6529,23096,12196,3928,16829,29172,54776,13713,10251,26736
2019,2_MD,1305,24677,23521,9036,28724,17293,8190,34646,56649,93430,18584,15450,38338
2019,7_MD,372,14787,13812,5351,19885,17589,4253,16242,32475,73259,15372,11493,25287
2019,8_VA,726,24603,9365,3267,19040,11367,10728,28347,102064,56882,27666,27863,68663
2019,1_VA,1857,21333,25876,8249,28522,14551,4776,30155,37885,67890,17144,12107,25006
2019,6_VA,5620,22438,40066,9007,29631,16697,5124,17595,25422,68566,17274,11798,16786
2019,5_VA,4049,18859,28049,6135,23372,12469,4004,19460,26131,65362,12551,9735,17931
2019,4_VA,952,12303,17756,4358,17593,12308,2781,14473,18550,38426,11289,7462,17715
2019,2_VA,1908,19911,29628,6699,25580,15109,5087,22625,36991,66366,16207,11845,34512
2019,3_VA,637,15448,28181,4812,20614,11304,3422,12184,25312,47362,15419,8130,23379
2019,9_VA,6943,16140,42304,5818,25412,12655,3227,10732,20140,66268,10478,11149,14744
2019,1_WV,12221,15221,21478,6747,27344,15089,4053,11862,19762,70492,15385,10406,21123
2019,2_WV,11676,20318,29368,6669,29640,17662,3840,12401,22573,73217,15734,9796,23646
2019,5_NC,2836,13157,28419,4529,19000,7962,2124,12311,14829,43835,9153,7343,7447
2019,6_NC,2181,22371,57744,11793,33843,20843,5266,24659,31904,75876,18746,14329,13350
2019,10_NC,3578,21968,86601,11235,34352,20578,3777,15800,23920,60993,17064,12803,13444
2019,8_NC,2678,19200,36693,7527,21706,12345,3341,18475,20056,44649,11429,9502,9742
2019,4_NC,1215,14714,27554,5362,18125,8597,5237,16950,38099,67487,12702,9722,12529
2019,9_NC,3611,17500,50980,7204,23350,12650,5868,16507,39898,69409,14915,11951,17454
2019,13_NC,2073,25223,27729,7903,23743,14117,6826,18197,36950,51416,16002,10216,19192
2019,1_NC,4041,10144,28502,4181,13473,7994,1466,7072,8074,32591,7802,5555,10052
2019,2_NC,340,6838,11241,3605,9076,4734,4799,12742,28502,22487,8016,4357,6304
2019,3_NC,10174,24363,39468,7023,29470,13704,3667,13872,21652,70166,19262,12557,25694
2019,14_NC,681,21994,32455,11700,27217,19533,9144,48563,46811,50092,23592,13563,6793
2019,12_NC,373,11992,14697,5948,15605,11008,4299,25104,21544,30686,10978,6231,4559
2019,7_NC,4976,24769,34906,6292,33345,16217,5578,16619,27718,70878,21123,12300,21949
2019,11_NC,2913,19350,30751,4758,21809,7710,3226,11548,18897,54172,20878,10458,10319
2019,6_SC,5016,34578,57240,10410,45023,26739,9334,30914,49217,104450,32484,20913,35734
2019,2_SC,1980,13177,20435,4189,14471,10057,2061,9092,14279,29824,7063,7082,9449
2019,7_SC,2344,14980,26416,5347,24632,11030,2720,13290,15846,43698,21873,7665,9169
2019,5_SC,1962,12433,38916,7050,19773,13372,3854,16262,18641,35224,9962,7745,8890
2019,3_SC,2364,13399,47187,4858,18761,10308,2241,8740,14333,43129,8561,7795,8195
2019,4_SC,1368,19078,65867,10587,24676,14758,6097,18153,31560,56721,17463,12405,8426
2019,1_SC,831,13690,14675,3399,14140,8113,3039,11478,23615,34147,14489,6410,9395
2019,5_GA,582,11365,21303,10194,27849,19054,14921,33253,73189,67956,29116,12404,16588
2019,6_GA,965,20309,28802,10894,26104,12458,11736,27897,52805,42890,14330,10835,8899
2019,7_GA,1126,37702,44569,17964,46201,25313,16925,40093,79434,75949,29481,22242,16747
2019,14_GA,2758,33854,81524,13446,38244,29744,8740,24780,40294,72091,19826,16053,18648
2019,10_GA,2635,16587,30325,7015,21364,15117,3440,10877,19495,50409,12460,9047,12678
2019,4_GA,99,5524,6337,2829,9083,8674,3216,6590,14221,21445,6189,3610,5973
2019,13_GA,978,23705,29283,12804,35973,49082,10452,25038,45509,77243,27445,15968,25778
2019,11_GA,135,4295,7449,2615,5952,3557,2467,6875,12241,11067,3170,2865,2115
2019,3_GA,1047,11078,31513,5463,13683,16279,2692,9349,14254,32049,8069,7370,9438
